pmid,title,journal,pub_date,year,first_author,num_authors
11446530,Purification and characterization of a 43.5 kDa keratinolytic metalloprotease from Microsporum canis.,Medical mycology,2001 Jun,2001,Brouta F,6
11407490,Exocellular enzyme activity of dermatophytes and other fungi isolated from ruminants in Southern Iraq.,Mycopathologia,2001,2001,Muhsin TM,2
11325057,Histochemical analyses of glycosaminoglycans in the synovial membrane of the canine knee joint.,Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft,2001 Mar,2001,Nagaoka D,2
11119146,Feather keratin hydrolysis by a Vibrio sp. strain kr2.,Journal of applied microbiology,2000 Nov,2000,Sangali S,2
11109488,Subtilisins of Bacillus spp. hydrolyze keratin and allow growth on feathers.,Canadian journal of microbiology,2000 Nov,2000,Evans KL,3
11064325,Characterization of an extracellular keratinase from Microsporum canis.,Nihon Ishinkin Gakkai zasshi = Japanese journal of medical mycology,2000,2000,Hamaguchi T,4
10850670,Isolation and characterization of a novel feather-degrading bacterial strain.,Applied biochemistry and biotechnology,2000 Apr,2000,Sangali S,2
10709982,Keratinase of Doratomyces microsporus.,Applied microbiology and biotechnology,2000 Feb,2000,Gradisar H,3
10653588,Ruthenium hexaammine trichloride chemography for aggrecan mapping in cartilage is a sensitive indicator of matrix degradation.,The journal of histochemistry and cytochemistry : official journal of the Histochemistry Society,2000 Jan,2000,Buschmann MD,5
10591021,Reidentification of the keratinase-producing facultatively alkaliphilic Bacillus sp. AH-101 as Bacillus halodurans.,Extremophiles : life under extreme conditions,1999 Nov,1999,Takami H,3
10564836,A first order experimental design to assess soluble proteins released by a new keratinase from Doratomyces microsporus on human substrates.,International journal of pharmaceutics,1999 Nov 30,1999,Vignardet C,4
10455487,Fermentation production of keratinase from Bacillus licheniformisPWD-1 and a recombinant B. subtilis FDB-29.,Journal of industrial microbiology & biotechnology,1999 Jun,1999,Wang JJ,2
10424099,Isolation of Basidiobolus ranarum from ectotherms in Antwerp zoo with special reference to characterization of the isolated strains.,Mycoses,1999,1999,Feio CL,4
10408094,Isolation and partial characterisation of extracellular keratinase from a wool degrading thermophilic actinomycete strain Thermoactinomyces candidus.,Canadian journal of microbiology,1999 Mar,1999,Ignatova Z,4
10361268,Humoral and cellular immune response to a crude exo-antigen and purified keratinase of Microsporum canis in experimentally infected guinea pigs.,Medical mycology,1999 Apr,1999,Mignon BR,6
10353210,Exocellular proteases of Malbranchea gypsea and their role in keratin deterioration.,Mycopathologia,1998-1999,1998,Singh CJ,1
10347045,Purification and characterization of a keratinolytic serine proteinase from Streptomyces albidoflavus.,Applied and environmental microbiology,1999 Jun,1999,Bressollier P,4
10206750,Purification and characterization of a 315 kDa keratinolytic subtilisin-like serine protease from Microsporum canis and evidence of its secretion in naturally infected cats.,Medical mycology,1998 Dec,1998,Mignon B,8
10205889,Degradation of chicken feathers by Chrysosporium georgiae.,Mycopathologia,1998,1998,el-Naghy MA,4
10200928,Histopathological pattern and humoral immune response to a crude exo-antigen and purified keratinase of Microsporum canis in symptomatic and asymptomatic infected cats.,Medical mycology,1999 Feb,1999,Mignon BR,5
9669125,The in vitro and in vivo production of a 31.5-kD keratinolytic subtilase from Microsporum canis and the clinical status in naturally infected cats.,"Dermatology (Basel, Switzerland)",1998,1998,Mignon BR,4
9489039,Keratinolytic activity of Streptomyces sp. S.K1-02: a new isolated strain.,Letters in applied microbiology,1998 Jan,1998,Letourneau F,5
9470414,Extracellular enzyme activities of dermatophytes and yeast isolates on solid media.,Mycoses,1997 Dec,1997,Muhsin TM,3
9429897,Use of degenerate primers and heat-soaked polymerase chain reaction (PCR) to clone a serine protease antigen from Dermatophilus congolensis.,Immunology and cell biology,1997 Oct,1997,Mine OM,2
9366094,Expression of the Bacillus licheniformis PWD-1 keratinase gene in B. subtilis.,Journal of industrial microbiology & biotechnology,1997 Aug,1997,Lin X,4
9265769,Mycological and some physiological studies of keratinophilic and other moulds associated with sheep wool.,Microbiological research,1997 Jul,1997,Abdel-Gawad KM,1
9608718,Keratinolysis by poultry farm soil fungi.,Mycopathologia,1997,1997,Kaul S,2
9361286,Proteoglycans provide neurite guidance at an astrocyte boundary.,Molecular and cellular neurosciences,1997,1997,Powell EM,3
9299753,Characterization of an extracellular keratinase of Trichophyton simii and its role in keratin degradation.,Mycopathologia,1997,1997,Singh CJ,1
8900102,Keratinolytic activity of Aspergillus fumigatus fresenius.,Current microbiology,1996 Dec,1996,Santos RMDB,4
16535453,Hydrolysis of feather keratin by immobilized keratinase.,Applied and environmental microbiology,1996 Nov,1996,Lin X,3
8950504,Distribution and characterization of proteoglycans associated with exfoliation material.,Current eye research,1996 Nov,1996,Tawara A,4
