uid,accession,title,organism,taxid,length,mol_type,create_date,year
2993367416,PV702345.1,"Bacillus pumilus strain SG9462 keratinase I gene, complete cds",Bacillus pumilus,1408,1152,dna,2025/06/14,2025
2809798053,PQ362380.1,"Bacillus licheniformis strain KCTC 1026 keratinase (kerH) gene, complete cds",Bacillus licheniformis,1402,1140,dna,2024/09/30,2024
2752716030,PP942533.1,"Stenotrophomonas sp. strain GSGU2024 keratinase (kerGS) gene, complete cds",Stenotrophomonas sp.,69392,1769,dna,2024/07/06,2024
2705993528,PP540287.1,"Bacillus sp. (in: firmicutes) strain RMGU2024 keratinase precursor (kerRM) gene, complete cds",Bacillus sp. (in: firmicutes),1409,1194,dna,2024/04/03,2024
2705993526,PP540286.1,"Bacillus sp. (in: firmicutes) strain MSGU2024 keratinase (kerFS) gene, partial cds",Bacillus sp. (in: firmicutes),1409,855,dna,2024/04/03,2024
2618797045,OR733336.1,"Bacillus subtilis strain bta keratinase gene, partial cds",Bacillus subtilis,1423,1110,dna,2023/11/13,2023
2563104457,OR067194.1,"Bacillus velezensis strain TCCC11320 keratinase gene, complete cds",Bacillus velezensis,492670,1092,dna,2023/08/20,2023
2563104455,OR050539.1,"Bacillus licheniformis strain ATCC 14580 keratinase gene, complete cds",Bacillus licheniformis,1402,1140,dna,2023/08/20,2023
2445174546,ON604954.1,"Geobacillus thermodenitrificans strain PS41-FP putative keratinase gene, partial cds",Geobacillus thermodenitrificans,33940,217,dna,2023/02/21,2023
2445170977,ON630913.1,"Bacillus subtilis strain PS3-FP.ab1 keratinase (ker) gene, partial cds",Bacillus subtilis,1423,895,dna,2023/02/21,2023
2445170975,ON630912.1,"Bacillus licheniformis strain PS62-FP.ab1 keratinase (ker) gene, partial cds",Bacillus licheniformis,1402,852,dna,2023/02/21,2023
2445170973,ON630911.1,"Bacillus thuringiensis strain PS8-FP.ab1 keratinase (ker) gene, partial cds",Bacillus thuringiensis,1428,446,dna,2023/02/21,2023
2428737136,OM988160.1,"Pseudomonas aeruginosa strain Gxun-7 keratinase gene, partial cds",Pseudomonas aeruginosa,287,1428,dna,2023/01/23,2023
2426205223,OM992359.1,"Pseudomonas aeruginosa strain Gxun-7 keratinase kp gene, partial cds",Pseudomonas aeruginosa,287,1428,dna,2023/01/17,2023
2426205220,OM992358.1,"Pseudomonas aeruginosa strain Gxun-7 keratinase kp2 gene, partial cds",Pseudomonas aeruginosa,287,1425,dna,2023/01/17,2023
2347852678,OM417521.1,"Pseudomonas aeruginosa strain Gxun-30 keratinase kp2 gene, partial cds",Pseudomonas aeruginosa,287,1351,dna,2022/11/30,2022
2347773850,OM273741.1,"Pseudomonas aeruginosa strain Gxun-7 keratinase (kp2) gene, partial cds",Pseudomonas aeruginosa,287,1350,dna,2022/11/30,2022
2283489492,MZ147000.1,"Bacillus velezensis strain SYBC H47 keratinase gene, complete cds",Bacillus velezensis,492670,1149,dna,2022/08/13,2022
2254959123,MZ516797.1,"Bacillus sp. (in: Bacteria) strain FJ-3-16 keratinase (kerFJ) gene, complete cds",Bacillus sp. (in: firmicutes),1409,1149,dna,2022/06/17,2022
2211510895,OL685340.1,"UNVERIFIED: Bacillus pumilus strain AR57 keratinase 2-like (ker2) gene, partial sequence",Bacillus pumilus,1408,1148,dna,2022/03/29,2022
2211510894,OL685339.1,"UNVERIFIED: Bacillus pumilus strain AR57 keratinase 1-like (ker1) gene, partial sequence",Bacillus pumilus,1408,1147,dna,2022/03/29,2022
2172924864,OL448306.1,"Bacillus cereus group sp. strain KerS39ems keratinase gene, partial cds",Bacillus cereus group sp.,2559710,809,dna,2022/01/10,2022
2172924862,OL448305.1,"Bacillus cereus group sp. strain KerS39 keratinase gene, partial cds",Bacillus cereus group sp.,2559710,886,dna,2022/01/10,2022
2172924860,OL448304.1,"Bacillus cereus group sp. strain kerS26uv keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924858,OL448303.1,"Bacillus cereus group sp. strain kerS26 keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924856,OL448302.1,"Bacillus cereus group sp. strain KerS15ems keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924854,OL448301.1,"Bacillus cereus group sp. strain KerS15 keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924852,OL448300.1,"Bacillus cereus group sp. strain KerS13uv+ems keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924850,OL448299.1,"Bacillus cereus group sp. strain KerS13uv keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924848,OL448298.1,"Bacillus cereus group sp. strain KerS13 keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924846,OL448297.1,"Bacillus cereus group sp. strain KerS1ems keratinase gene, complete cds",Bacillus cereus group sp.,2559710,1194,dna,2022/01/10,2022
2172924844,OL448296.1,"Bacillus cereus group sp. strain KerS1 keratinase gene, partial cds",Bacillus cereus group sp.,2559710,704,dna,2022/01/10,2022
2108693310,OK033361.1,"Bacillus sp. (in: Bacteria) strain FHNM keratinase gene, partial cds",Bacillus sp. (in: firmicutes),1409,658,dna,2021/10/13,2021
2108693308,OK033360.1,"Bacillus sp. (in: Bacteria) strain NFH5 keratinase gene, partial cds",Bacillus sp. (in: firmicutes),1409,876,dna,2021/10/13,2021
2033716483,MW477684.1,"Bacillus mojavensis strain BK107 keratinase gene, partial cds",Bacillus mojavensis,72360,1110,dna,2021/05/12,2021
2030387037,MW504716.1,"Bacillus licheniformis strain BK402 keratinase gene, partial cds",Bacillus licheniformis,1402,1134,dna,2021/05/03,2021
2030387035,MW504715.1,"Bacillus paralicheniformis strain BK401 keratinase gene, partial cds",Bacillus paralicheniformis,1648923,1134,dna,2021/05/03,2021
2030387033,MW504714.1,"Bacillus tequilensis strain BK206 keratinase gene, partial cds",Bacillus tequilensis,227866,1110,dna,2021/05/03,2021
2030387031,MW504713.1,"Bacillus pumilus strain BK111 keratinase gene, partial cds",Bacillus pumilus,1408,1059,dna,2021/05/03,2021
2030387029,MW504712.1,"Bacillus tequilensis strain BK324 keratinase gene, partial cds",Bacillus tequilensis,227866,1110,dna,2021/05/03,2021
2025687690,MW401230.1,"Bacillus pumilus strain FUM120 keratinase gene, partial cds",Bacillus pumilus,1408,1152,dna,2021/04/19,2021
1905076364,MT268136.1,"Bacillus sp. (in: firmicutes) strain CSK2 keratinase (kerCSK2) gene, partial cds",Bacillus sp. (in: firmicutes),1409,471,dna,2020/09/30,2020
