uid,accession,title,organism,taxid,length,mol_type,protein_name,create_date,year,submitter
2225262343,UOY93894.1,dethiobiotin synthase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,230,aa,,2022/04/18,2022,
2225262342,UOY93893.1,8-amino-7-oxononanoate synthase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,389,aa,,2022/04/18,2022,
2225262341,UOY93892.1,alpha/beta hydrolase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,234,aa,,2022/04/18,2022,
2225262340,UOY93891.1,malonyl-ACP O-methyltransferase BioC [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,276,aa,,2022/04/18,2022,
2225262339,UOY93890.1,biotin synthase BioB [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,331,aa,,2022/04/18,2022,
2225262338,UOY93889.1,"bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II [Ectobacillus sp. JY-23]",Ectobacillus sp. JY-23,2933872,395,aa,,2022/04/18,2022,
2225262337,UOY93888.1,riboflavin synthase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,212,aa,,2022/04/18,2022,
2225262336,UOY93887.1,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,367,aa,,2022/04/18,2022,
2225262335,UOY93886.1,CrcB family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,127,aa,,2022/04/18,2022,
2225262334,UOY93885.1,fluoride efflux transporter CrcB [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,116,aa,,2022/04/18,2022,
2225262333,UOY93884.1,CDGSH iron-sulfur domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,70,aa,,2022/04/18,2022,
2225262332,UOY93883.1,YqkC family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,80,aa,,2022/04/18,2022,
2225262331,UOY93882.1,alpha/beta hydrolase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,301,aa,,2022/04/18,2022,
2225262330,UOY93881.1,ribbon-helix-helix domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,143,aa,,2022/04/18,2022,
2225262329,UOY93880.1,5'-nucleotidase C-terminal domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,529,aa,,2022/04/18,2022,
2225262328,UOY93879.1,YqkE family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,83,aa,,2022/04/18,2022,
2225262327,UOY93878.1,aldo/keto reductase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,273,aa,,2022/04/18,2022,
2225262326,UOY93877.1,aldo/keto reductase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,300,aa,,2022/04/18,2022,
2225262325,UOY93876.1,NUDIX hydrolase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,183,aa,,2022/04/18,2022,
2225262324,UOY93875.1,stage II sporulation protein M [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,215,aa,,2022/04/18,2022,
2225262323,UOY93874.1,transcriptional repressor [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,148,aa,,2022/04/18,2022,
2225262322,UOY93873.1,YqzK family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,73,aa,,2022/04/18,2022,
2225262321,UOY93872.1,site-specific tyrosine recombinase XerD [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,295,aa,,2022/04/18,2022,
2225262320,UOY93871.1,FixH family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,237,aa,,2022/04/18,2022,
2225262319,UOY93870.1,N-acetylmuramoyl-L-alanine amidase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,213,aa,,2022/04/18,2022,
2225262318,UOY93869.1,phosphopentomutase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,392,aa,,2022/04/18,2022,
2225262317,UOY93868.1,purine-nucleoside phosphorylase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,271,aa,,2022/04/18,2022,
2225262316,UOY93867.1,pyrimidine-nucleoside phosphorylase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,434,aa,,2022/04/18,2022,
2225262315,UOY93866.1,NCS2 family permease [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,426,aa,,2022/04/18,2022,
2225262314,UOY93865.1,SIMPL domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,215,aa,,2022/04/18,2022,
2225262313,UOY93864.1,MarR family transcriptional regulator [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,139,aa,,2022/04/18,2022,
2225262312,UOY93863.1,hypothetical protein MUG87_07055 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,163,aa,,2022/04/18,2022,
2225262311,UOY93862.1,D-alanyl-D-alanine carboxypeptidase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,392,aa,,2022/04/18,2022,
2225262310,UOY93861.1,anti-sigma F factor antagonist [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,116,aa,,2022/04/18,2022,
2225262309,UOY93860.1,anti-sigma F factor [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,146,aa,,2022/04/18,2022,
2225262308,UOY93859.1,RNA polymerase sporulation sigma factor SigF [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,252,aa,,2022/04/18,2022,
2225262307,UOY93858.1,stage V sporulation protein AA [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,206,aa,,2022/04/18,2022,
2225262306,UOY93857.1,stage V sporulation protein AD [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,337,aa,,2022/04/18,2022,
2225262305,UOY93856.1,spore germination protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,493,aa,,2022/04/18,2022,
2225262304,UOY93855.1,HAD family hydrolase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,260,aa,,2022/04/18,2022,
2225262303,UOY93854.1,DUF1002 domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,287,aa,,2022/04/18,2022,
2225262302,UOY93853.1,peptidylprolyl isomerase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,144,aa,,2022/04/18,2022,
2225262301,UOY93852.1,GNAT family N-acetyltransferase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,120,aa,,2022/04/18,2022,
2225262300,UOY93851.1,DUF309 domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,171,aa,,2022/04/18,2022,
2225262299,UOY93850.1,segregation/condensation protein A [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,248,aa,,2022/04/18,2022,
2225262298,UOY93849.1,SMC-Scp complex subunit ScpB [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,191,aa,,2022/04/18,2022,
2225262297,UOY93848.1,N-acetylglucosamine-6-phosphate deacetylase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,384,aa,,2022/04/18,2022,
2225262296,UOY93847.1,phosphonate metabolism transcriptional regulator PhnF [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,243,aa,,2022/04/18,2022,
2225262295,UOY93846.1,Cof-type HAD-IIB family hydrolase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,271,aa,,2022/04/18,2022,
2225262294,UOY93845.1,transcription antiterminator [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,285,aa,,2022/04/18,2022,
2225262293,UOY93844.1,glucose-specific PTS transporter subunit IIBC [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,683,aa,,2022/04/18,2022,
2225262292,UOY93843.1,phosphocarrier protein HPr [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,87,aa,,2022/04/18,2022,
2225262291,UOY93842.1,phosphoenolpyruvate--protein phosphotransferase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,569,aa,,2022/04/18,2022,
2225262290,UOY93841.1,metalloregulator ArsR/SmtB family transcription factor [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,100,aa,,2022/04/18,2022,
2225262289,UOY93840.1,DUF3915 family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,77,aa,,2022/04/18,2022,
2225262288,UOY93839.1,hypothetical protein MUG87_06905 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,72,aa,,2022/04/18,2022,
2225262287,UOY93838.1,RNA helicase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,152,aa,,2022/04/18,2022,
2225262286,UOY93837.1,aminotransferase yhxA [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,101,aa,,2022/04/18,2022,
2225262285,UOY93836.1,glutathionylspermidine synthase family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,407,aa,,2022/04/18,2022,
2225262284,UOY93835.1,nitroreductase family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,204,aa,,2022/04/18,2022,
2225262283,UOY93834.1,diguanylate cyclase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,428,aa,,2022/04/18,2022,
2225262282,UOY93833.1,beta-lactamase family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,362,aa,,2022/04/18,2022,
2225262281,UOY93832.1,NAD(P)-dependent oxidoreductase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,288,aa,,2022/04/18,2022,
2225262280,UOY93831.1,hypothetical protein MUG87_06865 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,87,aa,,2022/04/18,2022,
2225262279,UOY93830.1,cupin domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,171,aa,,2022/04/18,2022,
2225262278,UOY93829.1,methylthioribulose 1-phosphate dehydratase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,209,aa,,2022/04/18,2022,
2225262277,UOY93828.1,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,227,aa,,2022/04/18,2022,
2225262276,UOY93827.1,pyridoxal phosphate-dependent aminotransferase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,396,aa,,2022/04/18,2022,
2225262275,UOY93826.1,S-methyl-5-thioribose-1-phosphate isomerase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,348,aa,,2022/04/18,2022,
2225262274,UOY93825.1,YvrJ family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,49,aa,,2022/04/18,2022,
2225262273,UOY93824.1,DUF955 domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,200,aa,,2022/04/18,2022,
2225262272,UOY93823.1,hypothetical protein MUG87_06810 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,86,aa,,2022/04/18,2022,
2225262271,UOY93822.1,hypothetical protein MUG87_06805 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,107,aa,,2022/04/18,2022,
2225262270,UOY93821.1,hypothetical protein MUG87_06800 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,82,aa,,2022/04/18,2022,
2225262269,UOY93820.1,RDD family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,151,aa,,2022/04/18,2022,
2225262268,UOY93819.1,hypothetical protein MUG87_06790 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,74,aa,,2022/04/18,2022,
2225262267,UOY93818.1,aminotransferase A [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,388,aa,,2022/04/18,2022,
2225262266,UOY93817.1,magnesium/cobalt transporter CorA [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,325,aa,,2022/04/18,2022,
2225262265,UOY93816.1,HD domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,325,aa,,2022/04/18,2022,
2225262264,UOY93815.1,hypothetical protein MUG87_06770 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,48,aa,,2022/04/18,2022,
2225262263,UOY93814.1,DUF3967 domain-containing protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,256,aa,,2022/04/18,2022,
2225262262,UOY93813.1,hypothetical protein MUG87_06760 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,134,aa,,2022/04/18,2022,
2225262261,UOY93812.1,polysaccharide deacetylase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,253,aa,,2022/04/18,2022,
2225262260,UOY93811.1,YkyA family protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,217,aa,,2022/04/18,2022,
2225262259,UOY93810.1,cytoplasmic protein [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,145,aa,,2022/04/18,2022,
2225262258,UOY93809.1,Ppx/GppA family phosphatase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,504,aa,,2022/04/18,2022,
2225262257,UOY93808.1,RNA degradosome polyphosphate kinase [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,702,aa,,2022/04/18,2022,
2225262256,UOY93807.1,hypothetical protein MUG87_06730 [Ectobacillus sp. JY-23],Ectobacillus sp. JY-23,2933872,75,aa,,2022/04/18,2022,
2225262255,UOY93806.1,"2,4-dienoyl-CoA reductase [Ectobacillus sp. JY-23]",Ectobacillus sp. JY-23,2933872,254,aa,,2022/04/18,2022,
