uid,accession,title,organism,taxid,length,mol_type,protein_name,create_date,year,submitter
1938335991,QPI83543.1,cardiolipin synthase [Bacillus paranthracis],Bacillus paranthracis,2026186,394,aa,,2020/11/29,2020,
1938335990,QPI83542.1,acyl-CoA thioesterase [Bacillus paranthracis],Bacillus paranthracis,2026186,168,aa,,2020/11/29,2020,
1938335989,QPI83541.1,TIGR03943 family protein [Bacillus paranthracis],Bacillus paranthracis,2026186,289,aa,,2020/11/29,2020,
1938335988,QPI83540.1,permease [Bacillus paranthracis],Bacillus paranthracis,2026186,298,aa,,2020/11/29,2020,
1938335987,QPI83539.1,magnesium transporter CorA family protein [Bacillus paranthracis],Bacillus paranthracis,2026186,313,aa,,2020/11/29,2020,
1938335986,QPI83538.1,polysaccharide biosynthesis protein [Bacillus paranthracis],Bacillus paranthracis,2026186,459,aa,,2020/11/29,2020,
1938335985,QPI83537.1,DedA family protein [Bacillus paranthracis],Bacillus paranthracis,2026186,200,aa,,2020/11/29,2020,
1938335984,QPI83536.1,NUDIX hydrolase [Bacillus paranthracis],Bacillus paranthracis,2026186,205,aa,,2020/11/29,2020,
1938335983,QPI83535.1,spore coat protein CotH [Bacillus paranthracis],Bacillus paranthracis,2026186,358,aa,,2020/11/29,2020,
1938335982,QPI83534.1,exosporium protein ExsB [Bacillus paranthracis],Bacillus paranthracis,2026186,192,aa,,2020/11/29,2020,
1938335981,QPI83533.1,phosphoserine phosphatase 1 [Bacillus paranthracis],Bacillus paranthracis,2026186,203,aa,,2020/11/29,2020,
1938335980,QPI83532.1,short-chain dehydrogenase [Bacillus paranthracis],Bacillus paranthracis,2026186,181,aa,,2020/11/29,2020,
1938335979,QPI83531.1,FosB/FosD family fosfomycin resistance bacillithiol transferase [Bacillus paranthracis],Bacillus paranthracis,2026186,138,aa,,2020/11/29,2020,
1938335978,QPI83530.1,peptide ABC transporter substrate-binding protein [Bacillus paranthracis],Bacillus paranthracis,2026186,553,aa,,2020/11/29,2020,
1938335977,QPI83529.1,DUF2628 domain-containing protein [Bacillus paranthracis],Bacillus paranthracis,2026186,327,aa,,2020/11/29,2020,
1938335976,QPI83528.1,methylated-DNA--[protein]-cysteine S-methyltransferase [Bacillus paranthracis],Bacillus paranthracis,2026186,150,aa,,2020/11/29,2020,
1938335975,QPI83527.1,NADPH dehydrogenase NamA [Bacillus paranthracis],Bacillus paranthracis,2026186,345,aa,,2020/11/29,2020,
1938335974,QPI83526.1,oxidoreductase [Bacillus paranthracis],Bacillus paranthracis,2026186,219,aa,,2020/11/29,2020,
1938335973,QPI83525.1,hypothetical protein I0K14_09855 [Bacillus paranthracis],Bacillus paranthracis,2026186,49,aa,,2020/11/29,2020,
1938335972,QPI83524.1,zinc ABC transporter substrate-binding protein [Bacillus paranthracis],Bacillus paranthracis,2026186,316,aa,,2020/11/29,2020,
1938335971,QPI83523.1,WXG100 family type VII secretion target [Bacillus paranthracis],Bacillus paranthracis,2026186,513,aa,,2020/11/29,2020,
1938335970,QPI83522.1,hypothetical protein I0K14_09840 [Bacillus paranthracis],Bacillus paranthracis,2026186,138,aa,,2020/11/29,2020,
1938335969,QPI83521.1,hypothetical protein I0K14_09835 [Bacillus paranthracis],Bacillus paranthracis,2026186,134,aa,,2020/11/29,2020,
1938335968,QPI83520.1,GNAT family N-acetyltransferase [Bacillus paranthracis],Bacillus paranthracis,2026186,156,aa,,2020/11/29,2020,
1938335967,QPI83519.1,GTP-binding protein [Bacillus paranthracis],Bacillus paranthracis,2026186,316,aa,,2020/11/29,2020,
1938335966,QPI83518.1,aldo/keto reductase [Bacillus paranthracis],Bacillus paranthracis,2026186,300,aa,,2020/11/29,2020,
1938335965,QPI83517.1,GNAT family N-acetyltransferase [Bacillus paranthracis],Bacillus paranthracis,2026186,194,aa,,2020/11/29,2020,
1938335964,QPI83516.1,flavin monoamine oxidase family protein [Bacillus paranthracis],Bacillus paranthracis,2026186,490,aa,,2020/11/29,2020,
1938335963,QPI83515.1,DUF3896 domain-containing protein [Bacillus paranthracis],Bacillus paranthracis,2026186,63,aa,,2020/11/29,2020,
1938335962,QPI83514.1,LLM class flavin-dependent oxidoreductase [Bacillus paranthracis],Bacillus paranthracis,2026186,333,aa,,2020/11/29,2020,
1938335961,QPI83513.1,alpha/beta hydrolase [Bacillus paranthracis],Bacillus paranthracis,2026186,314,aa,,2020/11/29,2020,
1938335960,QPI83512.1,DUF3939 domain-containing protein [Bacillus paranthracis],Bacillus paranthracis,2026186,151,aa,,2020/11/29,2020,
1938335959,QPI83511.1,DNA starvation/stationary phase protection protein [Bacillus paranthracis],Bacillus paranthracis,2026186,147,aa,,2020/11/29,2020,
1938335958,QPI83510.1,GerAB/ArcD/ProY family transporter [Bacillus paranthracis],Bacillus paranthracis,2026186,346,aa,,2020/11/29,2020,
1938335957,QPI83509.1,DUF3979 family protein [Bacillus paranthracis],Bacillus paranthracis,2026186,122,aa,,2020/11/29,2020,
1938335956,QPI83508.1,hypothetical protein I0K14_09770 [Bacillus paranthracis],Bacillus paranthracis,2026186,101,aa,,2020/11/29,2020,
1938335955,QPI83507.1,methyl-accepting chemotaxis protein [Bacillus paranthracis],Bacillus paranthracis,2026186,660,aa,,2020/11/29,2020,
1938335954,QPI83506.1,ribosome small subunit-dependent GTPase A [Bacillus paranthracis],Bacillus paranthracis,2026186,349,aa,,2020/11/29,2020,
1938335953,QPI83505.1,DUF664 domain-containing protein [Bacillus paranthracis],Bacillus paranthracis,2026186,175,aa,,2020/11/29,2020,
1938335952,QPI83504.1,DUF4257 domain-containing protein [Bacillus paranthracis],Bacillus paranthracis,2026186,115,aa,,2020/11/29,2020,
1938335951,QPI83503.1,hypothetical protein I0K14_09745 [Bacillus paranthracis],Bacillus paranthracis,2026186,74,aa,,2020/11/29,2020,
1938335950,QPI83502.1,MFS transporter [Bacillus paranthracis],Bacillus paranthracis,2026186,391,aa,,2020/11/29,2020,
1938335949,QPI83501.1,aldo/keto reductase [Bacillus paranthracis],Bacillus paranthracis,2026186,311,aa,,2020/11/29,2020,
1938335948,QPI83500.1,helix-turn-helix transcriptional regulator [Bacillus paranthracis],Bacillus paranthracis,2026186,102,aa,,2020/11/29,2020,
1938335947,QPI83499.1,serine protease [Bacillus paranthracis],Bacillus paranthracis,2026186,316,aa,,2020/11/29,2020,
1938335946,QPI83498.1,AbrB/MazE/SpoVT family DNA-binding domain-containing protein [Bacillus paranthracis],Bacillus paranthracis,2026186,95,aa,,2020/11/29,2020,
